reaction_id,pathway,cohens_d,p_value,adjusted_pval,significant,pathway_direction,pathway_median_d,genes,n_genes,reaction_name,ec_number,comparison
10,Transport reactions,-0.36601008293826665,0.4658633155017706,0.5367230149063246,False,Mature_CD8SP,-1.5197550583314645,Slc18a1; Slc18a2,2,5-Hydroxy-L-Tryptophan Secretion via Secretory Vesicle (ATP Driven),1.13.11.52,Late_vs_Mature_CD8SP
11,Transport reactions,-2.843812019053261,0.00020473349878551972,0.0040988982641821615,True,Mature_CD8SP,-1.5197550583314645,,0,Acetoacetate Intracellular Transport Unknown Mechanism,2.3.1.16,Late_vs_Mature_CD8SP
12,Transport reactions,1.758072861927518,0.0030246242699783253,0.015535445915432364,True,Late,-1.5197550583314645,Slc25a20,1,O-Acetylcarnintine Transport into Mitochondria via Diffusion,3.1.3.2,Late_vs_Mature_CD8SP
13,Transport reactions,-1.9617004398317068,0.004908556096092194,0.017784931670419633,True,Mature_CD8SP,-1.5197550583314645,Slc25a20,1,O-Acetylcarnintine Transport into Mitochondria via Diffusion,3.1.3.2,Late_vs_Mature_CD8SP
14,Transport reactions,0.5836628044727906,0.2474220465900504,0.3276188161759566,False,Late,-1.5197550583314645,,0,Acetate Mitochondrial Transport via Proton Symport,2.1.1.4,Late_vs_Mature_CD8SP
15,Transport reactions,1.2341249347660541,0.022160486983021244,0.043193789969025724,True,Late,-1.5197550583314645,,0,Acetate Mitochondrial Transport via Proton Symport,2.1.1.4,Late_vs_Mature_CD8SP
16,Bile acid biosynthesis,-0.9495688578750979,0.06490893940177651,0.10202178221499278,False,Mature_CD8SP,-0.998224620450368,Amacr,1,Alpha-Methylacyl Coenzyme A Racemase (Reductase),5.1.99.4,Late_vs_Mature_CD8SP
17,Starch and sucrose metabolism,-2.02330558023116,0.003199730646466718,0.01564181440527796,True,Mature_CD8SP,-0.7730426554740795,Amy1; Slc3a1; Slc3a2; Slc7a9,4,"Alpha-Amylase, Extracellular (Glygn2 -> Glygn4)",3.2.1.1,Late_vs_Mature_CD8SP
18,Transport reactions,-1.553365694015577,0.0072514708596603025,0.020155777848323266,True,Mature_CD8SP,-1.5197550583314645,,0,Fatty Acid Intracellular Transport,2.3.1.21,Late_vs_Mature_CD8SP
19,Transport reactions,-0.347285151504354,0.4995189372332872,0.5713883437297812,False,Mature_CD8SP,-1.5197550583314645,,0,Fatty Acid Intracellular Transport,2.3.1.21,Late_vs_Mature_CD8SP
20,Transport reactions,-0.20199628104758863,0.6820376160868791,0.7447618003985357,False,Mature_CD8SP,-1.5197550583314645,Slc25a15; Slc25a2,2,Arginine Mitochondrial Transport via Ornithine Carrier,4.3.2.1,Late_vs_Mature_CD8SP
21,Transport reactions,-1.4504620780700304,0.019781905745741304,0.03927689039021263,True,Mature_CD8SP,-1.5197550583314645,Slc25a15; Slc25a2,2,Arginine Mitochondrial Transport via Ornithine Carrier,4.3.2.1,Late_vs_Mature_CD8SP
22,Transport reactions,-1.6083652493362104,0.005964474542590745,0.018718853201819804,True,Mature_CD8SP,-1.5197550583314645,Atp6v0a1; Atp6v0a2; Atp6v0a4; Atp6v0b; Atp6v0c; Atp6v0d1; Atp6v0d2; Atp6v0e; Atp6v1a; Atp6v1b1; Atp6v1b2; Atp6v1c1; Atp6v1c2; Atp6v1d; Atp6v1e1; Atp6v1e2; Atp6v1f; Atp6v1g1; Atp6v1g2; Atp6v1g3; Atp6v1h; Tcirg1,22,"V-Type ATPase, H+ Transporting, Lysosomal",3.6.3.14,Late_vs_Mature_CD8SP
23,Bile acid biosynthesis,-0.9302075283924959,0.08657068126764798,0.13176804998769265,False,Mature_CD8SP,-0.998224620450368,Baat,1,Bile Acid Coenzyme A: Amino Acid N-Acyltransferase,2.3.1.65,Late_vs_Mature_CD8SP
24,Bile acid biosynthesis,-0.9814711448741927,0.05737584905614049,0.09260080761924257,False,Mature_CD8SP,-0.998224620450368,Baat,1,Bile Acid Coenzyme A: Amino Acid N-Acyltransferase,2.3.1.65,Late_vs_Mature_CD8SP
25,Bile acid biosynthesis,-1.0185094994221349,0.05014646633415969,0.08296039222805719,False,Mature_CD8SP,-0.998224620450368,Baat,1,Bile Acid Coenzyme A: Amino Acid N-Acyltransferase,2.3.1.65,Late_vs_Mature_CD8SP
26,Biotin metabolism,-1.8905761014258449,0.003077094631266346,0.01564181440527796,True,Mature_CD8SP,-1.687139784154617,Hlcs,1,"Biotin-[Acetyl Coenzyme A-Carboxylase] Ligase, Mitochondrial",6.3.4.15,Late_vs_Mature_CD8SP
27,Transport reactions,-0.3859055052301149,0.44721953087420596,0.5215886992412511,False,Mature_CD8SP,-1.5197550583314645,Slc32a1,1,B-Alanine Secretion via Secretory Vesicle (ATP Driven),2.3.1.65,Late_vs_Mature_CD8SP
28,Biotin metabolism,-1.8905761014258449,0.003077094631266346,0.01564181440527796,True,Mature_CD8SP,-1.687139784154617,Btd,1,"Biotinidase (Biotin), Mitochondrial",3.5.1.12,Late_vs_Mature_CD8SP
29,Biotin metabolism,-1.8905761014258449,0.003077094631266346,0.01564181440527796,True,Mature_CD8SP,-1.687139784154617,Hlcs,1,"Holocarboxylase Synthestase (Biotin Protein Ligase), Mitochondrial",3.5.1.12,Late_vs_Mature_CD8SP
30,Transport reactions,-2.034220396264981,0.0017512696032878038,0.011839553808558665,True,Mature_CD8SP,-1.5197550583314645,Slc16a1,1,"Biotin Reversible Transport via Proton Symport, Mitochondria",3.5.1.12,Late_vs_Mature_CD8SP
31,Transport reactions,0.2857924257038413,0.5699718439524706,0.6401608134732827,False,Late,-1.5197550583314645,,0,Benzoate Transport (Diffusion),3.5.1.6,Late_vs_Mature_CD8SP
32,Transport reactions,-1.4880684295914601,0.010867325110826113,0.02526091100938864,True,Mature_CD8SP,-1.5197550583314645,,0,Benzoate Transport (Diffusion),3.5.1.6,Late_vs_Mature_CD8SP
33,Cholesterol metabolism,-1.3718151053100363,0.012601565916711837,0.02777435298212044,True,Mature_CD8SP,-1.3718151053100363,Tm7sf2,1,C-14 Sterol Reductase,1.3.1.70,Late_vs_Mature_CD8SP
34,Fatty acid oxidation,-1.7416492429396226,0.0036051050917990913,0.016723156523264025,True,Mature_CD8SP,-1.409631923740098,Cpt1a; Cpt1b; Cpt1c,3,Carnitine O-Palmitoyltransferase,2.3.1.21,Late_vs_Mature_CD8SP
35,Fatty acid oxidation,-1.4385333043169835,0.013991607619754357,0.029590678025036673,True,Mature_CD8SP,-1.409631923740098,Cpt1a; Cpt1b; Cpt1c,3,Carnitine O-Palmitoyltransferase,2.3.1.21,Late_vs_Mature_CD8SP
36,Fatty acid oxidation,-2.1022118421901004,0.0019195684173289951,0.012314269504947652,True,Mature_CD8SP,-1.409631923740098,Cpt2,1,C161 Transport into the Mitochondria,2.3.1.21,Late_vs_Mature_CD8SP
37,Fatty acid oxidation,-1.34572222918753,0.020283271396139616,0.04009260969848653,True,Mature_CD8SP,-1.409631923740098,Cpt2,1,C161 Transport into the Mitochondria,2.3.1.21,Late_vs_Mature_CD8SP
38,Fatty acid oxidation,1.7568315703316342,0.003028060417173196,0.015535445915432364,True,Late,-1.409631923740098,Slc25a20,1,C161 Transport into the Mitochondria,2.3.1.21,Late_vs_Mature_CD8SP
39,Fatty acid oxidation,1.8745019854378902,0.0018336176389742282,0.011999397830366765,True,Late,-1.409631923740098,Slc25a20,1,C161 Transport into the Mitochondria,2.3.1.21,Late_vs_Mature_CD8SP
40,Fatty acid oxidation,1.7568315703316342,0.003028060417173196,0.015535445915432364,True,Late,-1.409631923740098,Slc25a20,1,C161 Transport into the Mitochondria,2.3.1.21,Late_vs_Mature_CD8SP
41,Fatty acid oxidation,1.8745019854378902,0.0018336176389742282,0.011999397830366765,True,Late,-1.409631923740098,Slc25a20,1,C161 Transport into the Mitochondria,2.3.1.21,Late_vs_Mature_CD8SP
42,Fatty acid oxidation,-0.39796083217813993,0.4364825950407031,0.5117162920281634,False,Mature_CD8SP,-1.409631923740098,Cpt1a; Cpt1b; Cpt1c,3,Transport of Octadecenoyl Coenzyme A into Mitochondrial Matrix,2.3.1.21,Late_vs_Mature_CD8SP
43,Fatty acid oxidation,-0.39796083217813993,0.4364825950407031,0.5117162920281634,False,Mature_CD8SP,-1.409631923740098,Cpt1a; Cpt1b; Cpt1c,3,Transport of Octadecenoyl Coenzyme A into Mitochondrial Matrix,2.3.1.21,Late_vs_Mature_CD8SP
44,Fatty acid oxidation,-0.39796083217813993,0.4364825950407031,0.5117162920281634,False,Mature_CD8SP,-1.409631923740098,Cpt2,1,Transport of Octadecenoyl Coenzyme A into Mitochondrial Matrix,2.3.1.21,Late_vs_Mature_CD8SP
45,Fatty acid oxidation,-0.39796083217813993,0.4364825950407031,0.5117162920281634,False,Mature_CD8SP,-1.409631923740098,Cpt2,1,Transport of Octadecenoyl Coenzyme A into Mitochondrial Matrix,2.3.1.21,Late_vs_Mature_CD8SP
46,Fatty acid oxidation,1.7568315703316342,0.003028060417173196,0.015535445915432364,True,Late,-1.409631923740098,Slc25a20,1,C181 Transport into the Mitochondria,2.3.1.21,Late_vs_Mature_CD8SP
47,Fatty acid oxidation,1.8745019854378902,0.0018336176389742282,0.011999397830366765,True,Late,-1.409631923740098,Slc25a20,1,C181 Transport into the Mitochondria,2.3.1.21,Late_vs_Mature_CD8SP
48,Cholesterol metabolism,-1.292575549699903,0.01802947630652014,0.03653941510411578,True,Mature_CD8SP,-1.3718151053100363,Hsd17b4,1,C-3 Sterol Keto Reductase (Zymosterol),4.2.1.17,Late_vs_Mature_CD8SP
49,Cholesterol metabolism,-1.261665509733536,0.020394610235014342,0.040307394791815984,True,Mature_CD8SP,-1.3718151053100363,Msmo1,1,"C-4 Sterol Methyl Oxidase (4, 4-Dimethylzymosterol)",4.2.1.17,Late_vs_Mature_CD8SP
50,Transport reactions,0.2594177975461962,0.5962290007393223,0.6662720811230215,False,Late,-1.5197550583314645,Atp2b1; Atp2b2; Atp2b3; Atp2b4,4,Ca ATPase,3.6.3.6,Late_vs_Mature_CD8SP
51,Transport reactions,-1.604362015829098,0.006805513070919403,0.01958409359743906,True,Mature_CD8SP,-1.5197550583314645,,0,Intracellular Transport,1.1.1.197,Late_vs_Mature_CD8SP
52,Glycerophospholipid metabolism,-1.6358197150520692,0.005843191862933986,0.018523533278328414,True,Mature_CD8SP,-1.4991821211136775,Cds1; Cds2,2,Phosphatidate Cytidylyltransferase,2.7.7.41,Late_vs_Mature_CD8SP
53,Glycerophospholipid metabolism,-1.604362015829098,0.006805513070919403,0.01958409359743906,True,Mature_CD8SP,-1.4991821211136775,Cds1; Cds2,2,Phosphatidate Cytidylyltransferase,2.7.7.41,Late_vs_Mature_CD8SP
54,Transport reactions,-1.424526516826857,0.015838796445344153,0.03264895234414678,True,Mature_CD8SP,-1.5197550583314645,Slc25a15; Slc25a2,2,Citrulline Mitochondrial Transport via Proton Antiport,3.2.1.14,Late_vs_Mature_CD8SP
55,Transport reactions,-1.4520757997992424,0.019801640966069494,0.03931089118880349,True,Mature_CD8SP,-1.5197550583314645,Slc25a15; Slc25a2,2,Citrulline Mitochondrial Transport via Proton Antiport,3.2.1.14,Late_vs_Mature_CD8SP
56,Transport reactions,-0.11068041074196572,0.8185441538693201,0.8418001549627252,False,Mature_CD8SP,-1.5197550583314645,Slc25a1,1,"Citrate Transport, Mitochondrial",4.2.1.56,Late_vs_Mature_CD8SP
57,Transport reactions,0.7993134019418744,0.14116736184905132,0.20279509012812583,False,Late,-1.5197550583314645,Slc25a1,1,"Citrate Transport, Mitochondrial",4.2.1.56,Late_vs_Mature_CD8SP
58,Transport reactions,-1.7007544584335117,0.009916693854955642,0.023732609038131288,True,Mature_CD8SP,-1.5197550583314645,Slc26a6,1,Chloride Transport via Hydroxide Antiport (2:1),2.7.3.2,Late_vs_Mature_CD8SP
59,Glycerophospholipid metabolism,-1.6769876630191694,0.004884823237134112,0.017784931670419633,True,Mature_CD8SP,-1.4991821211136775,Crls1,1,Cardiolipin Synthase (Homo Sapiens),2.3.1.21,Late_vs_Mature_CD8SP
60,Ubiquinone synthesis,-1.9185291661360497,0.0012322092345767178,0.009692550910848929,True,Mature_CD8SP,-2.0877032273371903,Coq7,1,Ubiquinone Biosynthesis Coq7,3.1.1.1,Late_vs_Mature_CD8SP
61,Ubiquinone synthesis,-2.256877288538331,0.00048164244942490447,0.005797419667018554,True,Mature_CD8SP,-2.0877032273371903,,0,P-Coumaroyl Coenzyme A Formation,6.2.1.12,Late_vs_Mature_CD8SP
62,Transport reactions,-1.5563909691048348,0.01372233609214112,0.029188136576682396,True,Mature_CD8SP,-1.5197550583314645,,0,Crmp Hs Transport,2.7.7.15,Late_vs_Mature_CD8SP
63,Transport reactions,-1.368529756625381,0.019168134526418166,0.038300659461094046,True,Mature_CD8SP,-1.5197550583314645,,0,Crmp Hs Transport,2.7.7.15,Late_vs_Mature_CD8SP
64,Fatty acid oxidation,-0.892031157869747,0.08066250459164351,0.12363762155343729,False,Mature_CD8SP,-1.409631923740098,Crat; Crot,2,"Carnitine Dimethyl Nonanoyl Transferase, Revsible, Peroxisomal",2.3.1.7,Late_vs_Mature_CD8SP
65,Glycerophospholipid metabolism,-3.165145485771257,2.870402784095492e-05,0.0016188211656520568,True,Mature_CD8SP,-1.4991821211136775,Dgki; Dgkz,2,Diacylglycerol Phosphate Kinase (Homo Sapiens),2.7.1.107,Late_vs_Mature_CD8SP
66,Transport reactions,-1.9140559110522386,0.0031484907680019597,0.01564181440527796,True,Mature_CD8SP,-1.5197550583314645,,0,Diacylglycerol Transport,2.7.1.107,Late_vs_Mature_CD8SP
67,Transport reactions,-2.1597128272922306,0.0005325298346843354,0.0060887124150924244,True,Mature_CD8SP,-1.5197550583314645,,0,Diacylglycerol Transport,2.7.1.107,Late_vs_Mature_CD8SP
68,Fatty acid oxidation,1.7568315703316342,0.003028060417173196,0.015535445915432364,True,Late,-1.409631923740098,Slc25a20,1,Transport into the Mitochondria (Carnitine),3.5.4.12,Late_vs_Mature_CD8SP
69,Fatty acid oxidation,1.8745019854378902,0.0018336176389742282,0.011999397830366765,True,Late,-1.409631923740098,Slc25a20,1,Transport into the Mitochondria (Carnitine),3.5.4.12,Late_vs_Mature_CD8SP
70,Fatty acid biosynthesis,-0.6463159434073326,0.20555315501072632,0.2805419566891613,False,Mature_CD8SP,-1.3537244403906328,Scd1; Scd2; Scd3,3,Palmitoyl Coenzyme A Desaturase (N-C16:0CoA -> N-C16:1CoA),1.14.19.1,Late_vs_Mature_CD8SP
71,Fatty acid biosynthesis,-1.559747433932075,0.011638918841007241,0.026510252882160877,True,Mature_CD8SP,-1.3537244403906328,Fads2,1,Fatty Acyl Coenzyme A Desaturase (N-C18:2CoA -> N-C18:3CoA),1.14.19.1,Late_vs_Mature_CD8SP
72,Fatty acid biosynthesis,-0.5490722502163176,0.27965391203094747,0.36503368649115875,False,Mature_CD8SP,-1.3537244403906328,Scd1; Scd2; Scd3,3,Stearoyl Coenzyme A Desaturase (N-C18:0CoA -> N-C18:1CoA),1.14.19.1,Late_vs_Mature_CD8SP
73,Fatty acid biosynthesis,-1.0167643254965757,0.062050646525382835,0.09826045171723785,False,Mature_CD8SP,-1.3537244403906328,Scd1; Scd2; Scd3,3,Stearoyl Coenzyme A Desaturase (N-C18:0CoA -> N-C18:1CoA),1.14.19.1,Late_vs_Mature_CD8SP
74,Fatty acid biosynthesis,-0.2210953734078298,0.6558188591272783,0.7217746221852476,False,Mature_CD8SP,-1.3537244403906328,Scd1; Scd2; Scd3,3,Stearoyl Coenzyme A Desaturase (N-C18:0CoA -> N-C18:1CoA),1.14.19.1,Late_vs_Mature_CD8SP
75,Fatty acid biosynthesis,-1.3537244403906328,0.0281437223108566,0.0510895925927521,False,Mature_CD8SP,-1.3537244403906328,Fads2,1,Fatty Acyl Coenzyme A Desaturase (N-C18:1CoA -> N-C18:2CoA),1.14.99.25,Late_vs_Mature_CD8SP
76,Fatty acid biosynthesis,-1.33052271969879,0.022278994664204143,0.04339936631999819,True,Mature_CD8SP,-1.3537244403906328,Fads2,1,Fatty Acyl Coenzyme A Desaturase (N-C18:1CoA -> N-C18:2CoA),1.14.19.1,Late_vs_Mature_CD8SP
77,Fatty acid biosynthesis,-1.3229276328165582,0.031270341977639275,0.056102562790336256,False,Mature_CD8SP,-1.3537244403906328,Fads2,1,Fatty Acyl Coenzyme A Desaturase (N-C18:1CoA -> N-C18:2CoA),1.14.99.25,Late_vs_Mature_CD8SP
78,Fatty acid biosynthesis,-1.7944233606657425,0.004092341567207031,0.017476596517017433,True,Mature_CD8SP,-1.3537244403906328,Fads1; Fads2,2,Fatty Acyl Coenzyme A Desaturase (N-C18:2CoA -> N-C18:3CoA),1.14.99.25,Late_vs_Mature_CD8SP
79,Propanoate metabolism,-1.7343732506214216,0.004182757139812577,0.01752037755957885,True,Mature_CD8SP,-1.735017130608155,Acss1; Acss2; Acss3,3,Propanoate:CoA ligase (AMP-forming),6.2.1.17;6.2.1.1;3.1.2.2,Late_vs_Mature_CD8SP
80,Acyl-CoA hydrolysis,-1.5689907450628386,0.008776187658624526,0.021756208230456896,True,Mature_CD8SP,-1.6719793446700146,Acot7,1,Propanoyl-CoA hydrolase,3.1.2.2,Late_vs_Mature_CD8SP
81,Fatty acid activation (cytosolic),-1.6070016417189088,0.006292338557642562,0.019183360078085545,True,Mature_CD8SP,-1.6719793446700146,Acsm1; Acsm2; Acsm3; Acsm4; Acsm5,5,Butanoate:CoA ligase (AMP-forming),6.2.1.2,Late_vs_Mature_CD8SP
82,Carnitine shuttle (cytosolic),0.2087301418554436,0.682844601754037,0.74484665337194,False,Late,-1.6375294530208016,Cpt1a; Cpt1b; Cpt1c,3,No name available,2.3.1.21,Late_vs_Mature_CD8SP
83,Carnitine shuttle (cytosolic),0.39396658766573267,0.4449908096781502,0.519472177078346,False,Late,-1.6375294530208016,Cpt1a; Cpt1b; Cpt1c,3,No name available,2.3.1.21,Late_vs_Mature_CD8SP
84,Carnitine shuttle (mitochondrial),0.2087301418554436,0.682844601754037,0.74484665337194,False,Late,-1.931145008227895,Cpt2; Crat,2,No name available,2.3.1.7,Late_vs_Mature_CD8SP
85,Carnitine shuttle (mitochondrial),0.39396658766573267,0.4449908096781502,0.519472177078346,False,Late,-1.931145008227895,Cpt2; Crat,2,No name available,2.3.1.7,Late_vs_Mature_CD8SP
86,Carnitine shuttle (mitochondrial),0.18627757210801707,0.718081417931943,0.7762847290702275,False,Late,-1.931145008227895,Crot,1,Octanoyl-CoA:L-carnitine O-octanoyltransferase,2.3.1.137,Late_vs_Mature_CD8SP
87,Carnitine shuttle (mitochondrial),0.18627757210801707,0.718081417931943,0.7762847290702275,False,Late,-1.931145008227895,Crot,1,Octanoyl-CoA:L-carnitine O-octanoyltransferase,2.3.1.137,Late_vs_Mature_CD8SP
88,Fatty acid activation (cytosolic),-2.697789856999437,7.12502402376287e-05,0.0025412357143358567,True,Mature_CD8SP,-1.6719793446700146,Acsm1; Acsm2; Acsm3; Acsm4; Acsm5,5,No name available,6.2.1.2,Late_vs_Mature_CD8SP
89,Fatty acid activation (cytosolic),-1.6389091890596459,0.005561233260207342,0.018219187426901484,True,Mature_CD8SP,-1.6719793446700146,Acsm1; Acsm2; Acsm3; Acsm4; Acsm5,5,No name available,6.2.1.2,Late_vs_Mature_CD8SP
90,Fatty acid activation (cytosolic),-2.88387941144463,3.970809240204274e-05,0.00179019298020946,True,Mature_CD8SP,-1.6719793446700146,Acsm1; Acsm2; Acsm3; Acsm4; Acsm5,5,No name available,6.2.1.2,Late_vs_Mature_CD8SP
91,Fatty acid activation (cytosolic),-1.6745214777302306,0.005442408767993434,0.018133472344367046,True,Mature_CD8SP,-1.6719793446700146,Acsm1; Acsm2; Acsm3; Acsm4; Acsm5,5,No name available,6.2.1.2,Late_vs_Mature_CD8SP
92,Fatty acid activation (cytosolic),-2.6118641062012675,0.0002142929682517358,0.0040988982641821615,True,Mature_CD8SP,-1.6719793446700146,Acsm1; Acsm2; Acsm3; Acsm4; Acsm5,5,No name available,6.2.1.2,Late_vs_Mature_CD8SP
93,Fatty acid activation (cytosolic),-1.674527904543786,0.005442231081027068,0.018133472344367046,True,Mature_CD8SP,-1.6719793446700146,Acsm1; Acsm2; Acsm3; Acsm4; Acsm5,5,No name available,6.2.1.2,Late_vs_Mature_CD8SP
94,Fatty acid biosynthesis,-1.5512716234437072,0.009698820422651288,0.02331867123172331,True,Mature_CD8SP,-1.3537244403906328,Fads1,1,Fatty Acyl Coenzyme A Desaturase (N-C20:3CoA -> N-C20:4CoA),1.14.19.1,Late_vs_Mature_CD8SP
95,Fatty acid activation (cytosolic),-1.6732617642265581,0.005464365332225861,0.018133472344367046,True,Mature_CD8SP,-1.6719793446700146,Acsm1; Acsm2; Acsm3; Acsm4; Acsm5,5,No name available,6.2.1.2,Late_vs_Mature_CD8SP
96,Fatty acid biosynthesis,-0.8951166952464373,0.083695692723265,0.12790923992965844,False,Mature_CD8SP,-1.3537244403906328,Fads1,1,Fatty Acyl Coenzyme A Desaturase (N-C20:4CoA -> N-C20:5CoA),1.14.19.1,Late_vs_Mature_CD8SP
97,Fatty acid activation (cytosolic),-1.7108561698403695,0.004201720085660708,0.01752037755957885,True,Mature_CD8SP,-1.6719793446700146,Acsbg1; Acsbg2; Acsl1; Acsl3; Acsl4; Acsl5; Acsl6; Slc27a2,8,No name available,6.2.1.3,Late_vs_Mature_CD8SP
98,Acyl-CoA hydrolysis,-1.7116848187136036,0.004212294195993965,0.01752037755957885,True,Mature_CD8SP,-1.6719793446700146,Acot1; Acot13; Acot7; Baat,4,Lauroyl-CoA hydrolase,3.1.2.2,Late_vs_Mature_CD8SP
99,Fatty acid activation (cytosolic),-1.709490784475348,0.00422129405211793,0.01752037755957885,True,Mature_CD8SP,-1.6719793446700146,Acsbg1; Acsbg2; Acsl1; Acsl3; Acsl4; Acsl5; Acsl6; Slc27a2,8,No name available,6.2.1.3,Late_vs_Mature_CD8SP
100,Acyl-CoA hydrolysis,-1.709490784475348,0.00422129405211793,0.01752037755957885,True,Mature_CD8SP,-1.6719793446700146,Acot1; Acot13; Acot7; Baat,4,Tridecanoyl-CoA hydrolase,3.1.2.2,Late_vs_Mature_CD8SP
101,Fatty acid activation (cytosolic),-1.708839073827351,0.00418337587256246,0.01752037755957885,True,Mature_CD8SP,-1.6719793446700146,Acsbg1; Acsbg2; Acsl1; Acsl3; Acsl4; Acsl5; Acsl6; Slc27a2,8,No name available,6.2.1.3,Late_vs_Mature_CD8SP
102,Acyl-CoA hydrolysis,-1.7071827961064363,0.0042236287866706775,0.01752037755957885,True,Mature_CD8SP,-1.6719793446700146,Acot1; Acot13; Acot7; Baat; Them4,5,Myristoyl-CoA hydrolase,3.1.2.2,Late_vs_Mature_CD8SP
103,Fatty acid activation (cytosolic),-1.7098384203009516,0.00417043203699555,0.01752037755957885,True,Mature_CD8SP,-1.6719793446700146,Acsbg1; Acsbg2; Acsl1; Acsl3; Acsl4; Acsl5; Acsl6; Slc27a2,8,No name available,6.2.1.3,Late_vs_Mature_CD8SP
104,Acyl-CoA hydrolysis,-1.7059984177454541,0.004229291876827244,0.01752037755957885,True,Mature_CD8SP,-1.6719793446700146,Acot1; Acot13; Acot7; Baat; Them4,5,(9E)-tetradecenoyl-CoA hydrolase,3.1.2.2,Late_vs_Mature_CD8SP
105,Fatty acid activation (cytosolic),-1.7084349924504254,0.004189650128593089,0.01752037755957885,True,Mature_CD8SP,-1.6719793446700146,Acsbg1; Acsbg2; Acsl1; Acsl3; Acsl4; Acsl5; Acsl6; Slc27a2,8,No name available,6.2.1.3,Late_vs_Mature_CD8SP
106,Fatty acid biosynthesis,-0.8374544190606733,0.1049309077857222,0.15648703668786815,False,Mature_CD8SP,-1.3537244403906328,,0,Fatty Acyl Coenzyme A Desaturase (N-C22:4CoA -> N-C22:5CoA),1.14.19.1,Late_vs_Mature_CD8SP
107,Acyl-CoA hydrolysis,-1.7084349924504254,0.004189650128593089,0.01752037755957885,True,Mature_CD8SP,-1.6719793446700146,Acot1; Acot13; Acot7; Baat; Them4,5,(7Z)-tetradecenoyl-CoA hydrolase,3.1.2.2,Late_vs_Mature_CD8SP
108,Fatty acid activation (cytosolic),-1.7084349924504254,0.004189650128593089,0.01752037755957885,True,Mature_CD8SP,-1.6719793446700146,Acsbg1; Acsbg2; Acsl1; Acsl3; Acsl4; Acsl5; Acsl6; Slc27a2,8,No name available,6.2.1.3,Late_vs_Mature_CD8SP
109,Acyl-CoA hydrolysis,-1.7084349924504254,0.004189650128593089,0.01752037755957885,True,Mature_CD8SP,-1.6719793446700146,Acot1; Acot13; Acot7; Baat; Them4,5,5-tetradecenoyl-CoA hydrolase,3.1.2.2,Late_vs_Mature_CD8SP
110,Fatty acid activation (cytosolic),-1.7084349924504254,0.004189650128593089,0.01752037755957885,True,Mature_CD8SP,-1.6719793446700146,Acsbg1; Acsbg2; Acsl1; Acsl3; Acsl4; Acsl5; Acsl6; Slc27a2,8,No name available,6.2.1.3,Late_vs_Mature_CD8SP
