pathway,pathway_direction,pathway_median_d,pathway_n_reactions,pathway_n_significant,pathway_pct_significant,reaction_id,base_id,reaction_name,cohens_d,p_value,significant,gene_association_raw,genes,n_genes,ec_number,dataset
Acylglycerides metabolism,CD8_CD5_hi,1.1540126307404417,21,0,0.0,MAR00669_pos,MAR00669,"1,2-diacyl-sn-glycerol acylhydrolase",1.1540126307404417,0.5556320779987349,False,Aadac or Cel or Dagla or Daglb or Lipc or Lipe or Lipf or Lipg or Pnlip or Pnliprp1 or Pnliprp2 or Pnpla2 or Pnpla3,Aadac; Cel; Dagla; Daglb; Lipc; Lipe; Lipf; Lipg; Pnlip; Pnliprp1; Pnliprp2; Pnpla2; Pnpla3,13,3.1.1.3,CD8
Acylglycerides metabolism,CD8_CD5_hi,1.1540126307404417,21,0,0.0,MAR00670_pos,MAR00670,"1,2-diacyl-sn-glycerol acylhydrolase",1.1551425388428593,0.5556320779987349,False,Aadac or Cel or Dagla or Daglb or Lipc or Lipe or Lipf or Lipg or Pnlip or Pnliprp1 or Pnliprp2 or Pnpla2 or Pnpla3,Aadac; Cel; Dagla; Daglb; Lipc; Lipe; Lipf; Lipg; Pnlip; Pnliprp1; Pnliprp2; Pnpla2; Pnpla3,13,3.1.1.3,CD8
Acylglycerides metabolism,CD8_CD5_hi,1.1540126307404417,21,0,0.0,MAR00671_pos,MAR00671,"1,2-diacyl-sn-glycerol acylhydrolase",1.1546011009916797,0.5556320779987349,False,Aadac or Cel or Dagla or Daglb or Lipc or Lipe or Lipf or Lipg or Pnlip or Pnliprp1 or Pnliprp2 or Pnpla2 or Pnpla3,Aadac; Cel; Dagla; Daglb; Lipc; Lipe; Lipf; Lipg; Pnlip; Pnliprp1; Pnliprp2; Pnpla2; Pnpla3,13,3.1.1.3,CD8
Acylglycerides metabolism,CD8_CD5_hi,1.1540126307404417,21,0,0.0,MAR00672_pos,MAR00672,"1,2-diacyl-sn-glycerol acylhydrolase",1.1571290858521972,0.5556320779987349,False,Aadac or Cel or Dagla or Daglb or Lipc or Lipe or Lipf or Lipg or Pnlip or Pnliprp1 or Pnliprp2 or Pnpla2 or Pnpla3,Aadac; Cel; Dagla; Daglb; Lipc; Lipe; Lipf; Lipg; Pnlip; Pnliprp1; Pnliprp2; Pnpla2; Pnpla3,13,3.1.1.3,CD8
Acylglycerides metabolism,CD8_CD5_hi,1.1540126307404417,21,0,0.0,MAR00679_pos,MAR00679,1-acylglycerol acylhydrolase,0.9853677176835964,0.5692799677717553,False,Abhd12 or Abhd6 or Mgll,Abhd12; Abhd6; Mgll,3,3.1.1.23,CD8
Acylglycerides metabolism,CD8_CD5_hi,1.1540126307404417,21,0,0.0,MAR00680_pos,MAR00680,1-acylglycerol acylhydrolase,1.0595094164483085,0.5582808314915082,False,Abhd12 or Abhd6 or Mgll,Abhd12; Abhd6; Mgll,3,3.1.1.23,CD8
Acylglycerides metabolism,CD8_CD5_hi,1.1540126307404417,21,0,0.0,MAR00681_pos,MAR00681,1-acylglycerol acylhydrolase,1.060982561917368,0.5578961486107687,False,Abhd12 or Abhd6 or Mgll,Abhd12; Abhd6; Mgll,3,3.1.1.23,CD8
Acylglycerides metabolism,CD8_CD5_hi,1.1540126307404417,21,0,0.0,MAR00682_pos,MAR00682,1-acylglycerol acylhydrolase,1.059573703904824,0.5582808314915082,False,Abhd12 or Abhd6 or Mgll,Abhd12; Abhd6; Mgll,3,3.1.1.23,CD8
Acylglycerides metabolism,CD8_CD5_hi,1.1540126307404417,21,0,0.0,MAR00683_pos,MAR00683,1-acylglycerol acylhydrolase,1.0616682665443782,0.5578961486107687,False,Abhd12 or Abhd6 or Mgll,Abhd12; Abhd6; Mgll,3,3.1.1.23,CD8
Acylglycerides metabolism,CD8_CD5_hi,1.1540126307404417,21,0,0.0,MAR00684_pos,MAR00684,1-acylglycerol acylhydrolase,1.060822647504513,0.5578961486107687,False,Abhd12 or Abhd6 or Mgll,Abhd12; Abhd6; Mgll,3,3.1.1.23,CD8
Acylglycerides metabolism,CD8_CD5_hi,1.1540126307404417,21,0,0.0,MAR07588_pos,MAR07588,Acyl-CoA:glycerone-phosphate O-acyltransferase,1.0538150664770845,0.5584423958353387,False,Gnpat,Gnpat,1,2.3.1.42,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00004_pos,MAR00004,No name available,1.5397622705062566,0.5556320779987349,False,No genes,,0,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00006_pos,MAR00006,No name available,1.430854776937949,0.5556320779987349,False,Abhd12 or Abhd6 or Gpihbp1 or Lpl or Mgll or Sdc1,Abhd12; Abhd6; Gpihbp1; Lpl; Mgll; Sdc1,6,3.1.1.34;3.1.1.23,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00007_pos,MAR00007,triacylglycerol acylhydrolase,1.5408305589783082,0.5556320779987349,False,Lpl,Lpl,1,3.1.1.34,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00008_pos,MAR00008,"1,2-diacyl-sn-glycerol acylhydrolase",1.458817578171926,0.5556320779987349,False,Lpl,Lpl,1,3.1.1.34,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00009_pos,MAR00009,No name available,1.4605151517073904,0.5556320779987349,False,No genes,,0,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00016_pos,MAR00016,No name available,0.9376103289319723,0.5700992726766191,False,No genes,,0,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00018_neg,MAR00018,No name available,0.798190616776922,0.5918145148984707,False,Npc1l1,Npc1l1,1,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00018_pos,MAR00018,No name available,1.3832265899922167,0.5556320779987349,False,Npc1l1,Npc1l1,1,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00019_pos,MAR00019,No name available,0.6812623668508683,0.6471971873296297,False,Scarb1,Scarb1,1,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00020_neg,MAR00020,No name available,0.6812623668508683,0.6471971873296297,False,No genes,,0,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00020_pos,MAR00020,No name available,1.2305194034049778,0.5556320779987349,False,No genes,,0,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00038_neg,MAR00038,10-Formyltetrahydrofolate Mitochondrial Transport via Diffusion,0.8444357445398349,0.6018721099028119,False,No genes,,0,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00038_pos,MAR00038,10-Formyltetrahydrofolate Mitochondrial Transport via Diffusion,0.7722133136040956,0.6238914778423444,False,No genes,,0,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00045_pos,MAR00045,3-Methyl-2-Oxobutanoate Mitochondrial Transport via Proton Symport,0.24005500364963697,0.8894627324408841,False,No genes,,0,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00050_neg,MAR00050,5-Formyltetrahydrofolate Transport via Anion Antiport,0.7037947946609865,0.656231935756768,False,Slc19a1,Slc19a1,1,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00050_pos,MAR00050,5-Formyltetrahydrofolate Transport via Anion Antiport,0.7037947946609865,0.656231935756768,False,Slc19a1,Slc19a1,1,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00052_pos,MAR00052,5-Hydroxy-L-Tryptophan Secretion via Secretory Vesicle (ATP Driven),0.9830302731009514,0.5708251529423163,False,Slc18a1 or Slc18a2,Slc18a1; Slc18a2,2,1.13.11.52,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00053_neg,MAR00053,5-Methyltetrahydrofolate Transport via Anion Antiport,0.9999015486024855,0.5604096431791527,False,Slc19a1,Slc19a1,1,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00053_pos,MAR00053,5-Methyltetrahydrofolate Transport via Anion Antiport,0.9999015486024855,0.5604096431791527,False,Slc19a1,Slc19a1,1,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00054_neg,MAR00054,Cholesterol Precursor Intracellular Transport,0.663456054183511,0.679025503761523,False,No genes,,0,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00054_pos,MAR00054,Cholesterol Precursor Intracellular Transport,0.7083008329119173,0.6564675396364558,False,No genes,,0,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00056_neg,MAR00056,Acetoacetate Intracellular Transport Unknown Mechanism,0.6110410958173738,0.685964495476841,False,No genes,,0,2.3.1.16,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00057_neg,MAR00057,Acetyl Coenzyme A Transport,1.72193589732989,0.5556320779987349,False,Slc33a1,Slc33a1,1,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00057_pos,MAR00057,Acetyl Coenzyme A Transport,1.72193589732989,0.5556320779987349,False,Slc33a1,Slc33a1,1,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00058_pos,MAR00058,Acetylcholine Secretion via Secretory Vesicle (ATP Driven),0.558076657748517,0.7152043113671276,False,Slc18a3,Slc18a3,1,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00060_neg,MAR00060,O-Acetylcarnintine Transport into Mitochondria via Diffusion,0.3160551425452048,0.8489266868574029,False,Slc25a20,Slc25a20,1,3.1.3.2,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00060_pos,MAR00060,O-Acetylcarnintine Transport into Mitochondria via Diffusion,3.989359364618278,0.5556320779987349,False,Slc25a20,Slc25a20,1,3.1.3.2,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00061_neg,MAR00061,Acetate Mitochondrial Transport via Proton Symport,1.0843787928195348,0.5556320779987349,False,No genes,,0,2.1.1.4,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00061_pos,MAR00061,Acetate Mitochondrial Transport via Proton Symport,0.6853277601298894,0.6594326095008206,False,No genes,,0,2.1.1.4,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00063_neg,MAR00063,Fatty Acid Intracellular Transport,1.7205120280920203,0.5556320779987349,False,No genes,,0,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00063_pos,MAR00063,Fatty Acid Intracellular Transport,1.368341468784601,0.5556320779987349,False,No genes,,0,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00065_pos,MAR00065,Adrenaline Secretion via Secretory Vesicle (ATP Driven),1.2251416897822665,0.5556320779987349,False,Slc18a1 or Slc18a2,Slc18a1; Slc18a2,2,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00066_neg,MAR00066,"L-Alanine Reversible Transport via Proton Symport, Lysosomal",1.2021122287981878,0.5556320779987349,False,Slc36a1,Slc36a1,1,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00066_pos,MAR00066,"L-Alanine Reversible Transport via Proton Symport, Lysosomal",1.2336201988051094,0.5556320779987349,False,Slc36a1,Slc36a1,1,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00075_neg,MAR00075,Fatty Acid Intracellular Transport,1.9115023420340662,0.5556320779987349,False,No genes,,0,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00075_pos,MAR00075,Fatty Acid Intracellular Transport,1.6854529033769663,0.5556320779987349,False,No genes,,0,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00077_neg,MAR00077,Fatty Acid Intracellular Transport,1.1796765558173332,0.5556320779987349,False,No genes,,0,2.3.1.21,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00077_pos,MAR00077,Fatty Acid Intracellular Transport,0.4517783741569641,0.756269559156565,False,No genes,,0,2.3.1.21,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00078_neg,MAR00078,Intracellular Transport,0.2676923747262372,0.8714714070727883,False,No genes,,0,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00078_pos,MAR00078,Intracellular Transport,0.2676923747262372,0.8714714070727883,False,No genes,,0,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00079_neg,MAR00079,Arginine Mitochondrial Transport via Ornithine Carrier,0.4718256459110599,0.7611695084539254,False,Slc25a15 or Slc25a2,Slc25a15; Slc25a2,2,4.3.2.1,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00079_pos,MAR00079,Arginine Mitochondrial Transport via Ornithine Carrier,-0.9712762381344232,0.5556320779987349,False,Slc25a15 or Slc25a2,Slc25a15; Slc25a2,2,4.3.2.1,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00080_pos,MAR00080,"V-Type ATPase, H+ Transporting, Lysosomal",1.3480044419913566,0.5556320779987349,False,((Atp6v0a4 and Atp6v0b and Atp6v0c and Atp6v0d2 and Atp6v0e) or (Atp6v0a2 and Atp6v0b and Atp6v0c and Atp6v0d2 and Atp6v0e) or (Atp6v0a4 and Atp6v0b and Atp6v0c and Atp6v0d1 and Atp6v0e) or (Atp6v0a1 and Atp6v0b and Atp6v0c and Atp6v0d2 and Atp6v0e) or (Atp6v0a1 and Atp6v0b and Atp6v0c and Atp6v0d1 and Atp6v0e) or (Atp6v0b and Atp6v0c and Atp6v0d1 and Atp6v0e and Tcirg1) or (Atp6v0a2 and Atp6v0b and Atp6v0c and Atp6v0d1 and Atp6v0e) or (Atp6v0b and Atp6v0c and Atp6v0d2 and Atp6v0e and Tcirg1)) and ((Atp6v1a and Atp6v1b2 and Atp6v1c1 and Atp6v1d and Atp6v1e1 and Atp6v1f and Atp6v1g2 and Atp6v1h) or (Atp6v1a and Atp6v1b1 and Atp6v1c1 and Atp6v1d and Atp6v1e1 and Atp6v1f and Atp6v1g3 and Atp6v1h) or (Atp6v1a and Atp6v1b2 and Atp6v1c2 and Atp6v1d and Atp6v1e2 and Atp6v1f and Atp6v1g3 and Atp6v1h) or (Atp6v1a and Atp6v1b1 and Atp6v1c2 and Atp6v1d and Atp6v1e1 and Atp6v1f and Atp6v1g2 and Atp6v1h) or (Atp6v1a and Atp6v1b1 and Atp6v1c2 and Atp6v1d and Atp6v1e2 and Atp6v1f and Atp6v1g2 and Atp6v1h) or (Atp6v1a and Atp6v1b1 and Atp6v1c1 and Atp6v1d and Atp6v1e1 and Atp6v1f and Atp6v1g2 and Atp6v1h) or (Atp6v1a and Atp6v1b2 and Atp6v1c1 and Atp6v1d and Atp6v1e2 and Atp6v1f and Atp6v1g3 and Atp6v1h) or (Atp6v1a and Atp6v1b2 and Atp6v1c1 and Atp6v1d and Atp6v1e1 and Atp6v1f and Atp6v1g3 and Atp6v1h) or (Atp6v1a and Atp6v1b1 and Atp6v1c1 and Atp6v1d and Atp6v1e2 and Atp6v1f and Atp6v1g2 and Atp6v1h) or (Atp6v1a and Atp6v1b1 and Atp6v1c1 and Atp6v1d and Atp6v1e2 and Atp6v1f and Atp6v1g3 and Atp6v1h) or (Atp6v1a and Atp6v1b2 and Atp6v1c2 and Atp6v1d and Atp6v1e1 and Atp6v1f and Atp6v1g3 and Atp6v1h) or (Atp6v1a and Atp6v1b2 and Atp6v1c2 and Atp6v1d and Atp6v1e1 and Atp6v1f and Atp6v1g2 and Atp6v1h) or (Atp6v1a and Atp6v1b1 and Atp6v1c2 and Atp6v1d and Atp6v1e1 and Atp6v1f and Atp6v1g3 and Atp6v1h) or (Atp6v1a and Atp6v1b1 and Atp6v1c2 and Atp6v1d and Atp6v1e2 and Atp6v1f and Atp6v1g3 and Atp6v1h) or (Atp6v1a and Atp6v1b1 and Atp6v1c2 and Atp6v1d and Atp6v1e2 and Atp6v1f and Atp6v1g1 and Atp6v1h) or (Atp6v1a and Atp6v1b1 and Atp6v1c2 and Atp6v1d and Atp6v1e1 and Atp6v1f and Atp6v1g1 and Atp6v1h) or (Atp6v1a and Atp6v1b2 and Atp6v1c2 and Atp6v1d and Atp6v1e1 and Atp6v1f and Atp6v1g1 and Atp6v1h) or (Atp6v1a and Atp6v1b2 and Atp6v1c1 and Atp6v1d and Atp6v1e2 and Atp6v1f and Atp6v1g1 and Atp6v1h) or (Atp6v1a and Atp6v1b1 and Atp6v1c1 and Atp6v1d and Atp6v1e2 and Atp6v1f and Atp6v1g1 and Atp6v1h) or (Atp6v1a and Atp6v1b2 and Atp6v1c2 and Atp6v1d and Atp6v1e2 and Atp6v1f and Atp6v1g1 and Atp6v1h) or (Atp6v1a and Atp6v1b2 and Atp6v1c1 and Atp6v1d and Atp6v1e1 and Atp6v1f and Atp6v1g1 and Atp6v1h) or (Atp6v1a and Atp6v1b1 and Atp6v1c1 and Atp6v1d and Atp6v1e1 and Atp6v1f and Atp6v1g1 and Atp6v1h) or (Atp6v1a and Atp6v1b2 and Atp6v1c1 and Atp6v1d and Atp6v1e2 and Atp6v1f and Atp6v1g2 and Atp6v1h) or (Atp6v1a and Atp6v1b2 and Atp6v1c2 and Atp6v1d and Atp6v1e2 and Atp6v1f and Atp6v1g2 and Atp6v1h)),Atp6v0a1; Atp6v0a2; Atp6v0a4; Atp6v0b; Atp6v0c; Atp6v0d1; Atp6v0d2; Atp6v0e; Atp6v1a; Atp6v1b1; Atp6v1b2; Atp6v1c1; Atp6v1c2; Atp6v1d; Atp6v1e1; Atp6v1e2; Atp6v1f; Atp6v1g1; Atp6v1g2; Atp6v1g3; Atp6v1h; Tcirg1,22,3.6.3.14,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00087_pos,MAR00087,B-Alanine Secretion via Secretory Vesicle (ATP Driven),1.0835435887459803,0.5556320779987349,False,Slc32a1,Slc32a1,1,2.3.1.65,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00089_neg,MAR00089,Glucuronidated Compound Transport,0.8093198670969064,0.5913926365873212,False,No genes,,0,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00089_pos,MAR00089,Glucuronidated Compound Transport,1.6694796907064142,0.5556320779987349,False,No genes,,0,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00090_neg,MAR00090,Glucuronidated Compound Transport,1.3652183009650698,0.5556320779987349,False,No genes,,0,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00090_pos,MAR00090,Glucuronidated Compound Transport,1.6012056278375288,0.5556320779987349,False,No genes,,0,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00093_pos,MAR00093,"Biotin Reversible Transport via Proton Symport, Mitochondria",0.6248797038392373,0.6787519485246042,False,Slc16a1,Slc16a1,1,3.5.1.12,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00094_pos,MAR00094,Biotin Transport via Sodium Symport,1.0641885353353928,0.5556320779987349,False,Slc5a6,Slc5a6,1,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00095_pos,MAR00095,Biotin Uptake (Antiport),1.6771350652356745,0.5556320779987349,False,Slc19a3,Slc19a3,1,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00097_pos,MAR00097,"Butyrate Mitochondrial Transport via Proton Symport, Reversible",0.6869780493638188,0.6513862896874384,False,Slc16a1,Slc16a1,1,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00099_neg,MAR00099,Benzoate Transport (Diffusion),0.1585726841390102,0.9211251896695037,False,No genes,,0,3.5.1.6,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00099_pos,MAR00099,Benzoate Transport (Diffusion),1.0504119299214782,0.5556320779987349,False,No genes,,0,3.5.1.6,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00100_neg,MAR00100,"Benzene Transporter, Endoplasmic Reticulum",0.4388709589742658,0.7627086406181081,False,No genes,,0,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00119_pos,MAR00119,Ca ATPase,1.1236706409631847,0.5556320779987349,False,Atp2b1 or Atp2b2 or Atp2b3 or Atp2b4,Atp2b1; Atp2b2; Atp2b3; Atp2b4,4,3.6.3.6,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00120_neg,MAR00120,Intracellular Transport,1.4603868209291773,0.5556320779987349,False,No genes,,0,1.1.1.197,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00123_neg,MAR00123,Cholesterol Intracellular Transport,-1.5773110882741166,0.5556320779987349,False,No genes,,0,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00123_pos,MAR00123,Cholesterol Intracellular Transport,-1.5773110882741166,0.5556320779987349,False,No genes,,0,No EC,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00124_neg,MAR00124,Citrulline Mitochondrial Transport via Proton Antiport,0.5819808606398064,0.6893023937277998,False,Slc25a15 or Slc25a2,Slc25a15; Slc25a2,2,3.2.1.14,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00124_pos,MAR00124,Citrulline Mitochondrial Transport via Proton Antiport,-0.9712762381344232,0.5556320779987349,False,Slc25a15 or Slc25a2,Slc25a15; Slc25a2,2,3.2.1.14,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00125_neg,MAR00125,"Citrate Transport, Mitochondrial",-0.031010959998727654,0.9833656698923726,False,Slc25a1,Slc25a1,1,4.2.1.56,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00125_pos,MAR00125,"Citrate Transport, Mitochondrial",2.3611937501231925,0.5556320779987349,False,Slc25a1,Slc25a1,1,4.2.1.56,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00126_pos,MAR00126,Chloride Transport via Hydroxide Antiport (2:1),-0.5191963272171888,0.7365980666122127,False,Slc26a6,Slc26a6,1,2.7.3.2,CD8
Transport reactions,CD8_CD5_hi,0.9780849128568778,5457,0,0.0,MAR00127_neg,MAR00127,Fatty Acid Intracellular Transport,1.7205120280920203,0.5556320779987349,False,No genes,,0,No EC,CD8
