pathway,median_cohens_d,n_significant_reactions,direction,total_genes,n_total_reactions
Nicotinate and nicotinamide metabolism,-1.4354652639258985,28,Early,81,33
Miscellaneous,-1.3159648870284089,28,Mature_CD8SP,132,51
Cysteine and methionine metabolism,-1.324038919999101,27,Mature_CD8SP,64,39
Beta oxidation of even-chain fatty acids (mitochondrial),-1.1410372297767517,27,Mature_CD8SP,394,59
Arginine and proline metabolism,-1.0657316129111971,25,Early,127,71
Lysine metabolism,-1.2896687492884442,25,Mature_CD8SP,176,31
Heparan sulfate degradation,-1.4687648545877279,23,Mature_CD8SP,30,25
Pyruvate metabolism,-1.2976223831807034,22,Mature_CD8SP,78,31
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,-0.8888398912288485,22,Early,85,41
Bile acid biosynthesis,-0.4498246225572175,22,Early,430,201
Keratan sulfate biosynthesis,-1.3309726154153319,21,Mature_CD8SP,62,21
Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),-1.5273830513160338,21,Mature_CD8SP,68,21
Fatty acid biosynthesis (unsaturated),-1.528689957687402,20,Mature_CD8SP,120,32
Aminoacyl-tRNA biosynthesis,-1.3662486981612214,20,Mature_CD8SP,21,20
Fatty acid elongation (even-chain),-1.5707255208225526,19,Mature_CD8SP,75,20
Galactose metabolism,-1.4479044315803717,19,Mature_CD8SP,57,27
Acylglycerides metabolism,-1.5136334044659643,19,Mature_CD8SP,148,21
Amino sugar and nucleotide sugar metabolism,-1.2593788507215455,18,Mature_CD8SP,35,26
"Alanine, aspartate and glutamate metabolism",-1.0565351460740144,18,Mature_CD8SP,53,44
Glycosphingolipid metabolism,-1.448564888031906,18,Mature_CD8SP,175,19
Propanoate metabolism,-1.3223473900013496,17,Mature_CD8SP,81,18
"Valine, leucine, and isoleucine metabolism",-1.100300397090568,17,Mature_CD8SP,94,45
Histidine metabolism,-1.396189021031842,17,Mature_CD8SP,50,17
Starch and sucrose metabolism,-0.8726630199510559,16,Mature_CD8SP,73,38
Pentose phosphate pathway,-0.8055757071034304,16,Mature_CD8SP,59,38
Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal),-1.1883817215431587,16,Mature_CD8SP,62,19
Tyrosine metabolism,-0.888076472122468,16,Mature_CD8SP,86,38
Vitamin D metabolism,-1.4004862332591392,15,Mature_CD8SP,50,22
Glutathione metabolism,-1.4306064466832025,12,Mature_CD8SP,70,18
Isolated,-1.3883687939194842,12,Early,43,17
Fatty acid elongation (odd-chain),-1.5273848734531101,12,Mature_CD8SP,44,12
Pantothenate and CoA metabolism,-1.1713301030876,11,Mature_CD8SP,29,20
Fructose and mannose metabolism,-1.306629724860857,11,Mature_CD8SP,37,21
Vitamin B6 metabolism,-1.3648365456440723,10,Mature_CD8SP,17,12
Glycosphingolipid biosynthesis-globo series,-1.3838874789261966,10,Mature_CD8SP,14,10
Prostaglandin biosynthesis,0.11014128783572062,9,Early,149,45
C5-branched dibasic acid metabolism,-1.7433508588214208,9,Mature_CD8SP,27,12
Terpenoid backbone biosynthesis,-1.6779622537526284,9,Mature_CD8SP,10,10
Biotin metabolism,-1.5564705034770694,9,Mature_CD8SP,8,9
Beta-alanine metabolism,-1.2766972583128895,9,Mature_CD8SP,26,12
Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal),-0.4161066367380123,9,Mature_CD8SP,125,38
Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),-1.177139561459584,8,Mature_CD8SP,55,17
Leukotriene metabolism,0.1733778567288427,8,Mature_CD8SP,989,150
Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal),-1.435010866502318,8,Mature_CD8SP,26,8
Cholesterol biosynthesis 1 (Bloch pathway),-0.7293327816312508,8,Mature_CD8SP,35,27
Phosphatidylinositol phosphate metabolism,-1.2982451532806034,7,Mature_CD8SP,9,9
Androgen metabolism,0.15016177083476373,7,Early,101,34
Ether lipid metabolism,-1.5805070210977676,6,Mature_CD8SP,59,7
Riboflavin metabolism,-1.412797556487173,6,Mature_CD8SP,12,6
O-glycan metabolism,-1.14439718114805,6,Mature_CD8SP,51,13
Vitamin A metabolism,-1.4004862501966184,5,Mature_CD8SP,6,5
Fatty acid activation (endoplasmic reticular),-0.4298869442135101,5,Mature_CD8SP,442,55
Thiamine metabolism,-1.4152697189026389,5,Mature_CD8SP,7,5
Estrogen metabolism,0.0016621569887768355,5,Early,834,59
Carnitine shuttle (peroxisomal),1.639067916186989,5,Mature_CD8SP,9,7
Arachidonic acid metabolism,0.1733778567288427,5,Early,1148,119
Sulfur metabolism,-1.4093829586386846,5,Early,8,6
Eicosanoid metabolism,-0.14139367058712068,4,Mature_CD8SP,53,22
Lipoic acid metabolism,-1.4222480179816532,4,Mature_CD8SP,5,5
Oxidative phosphorylation,-1.1838232193885843,4,Mature_CD8SP,78,7
Cholesterol biosynthesis 2,-1.1861833528591097,3,Mature_CD8SP,4,4
Butanoate metabolism,-0.8900104463681973,3,Mature_CD8SP,24,11
Pool reactions,-1.3825508006245526,3,Mature_CD8SP,5,3
N-glycan metabolism,-0.8165881720862976,3,Mature_CD8SP,148,63
Linoleate metabolism,0.1733778567288427,3,Early,205,17
Ascorbate and aldarate metabolism,-0.8719277603466471,3,Mature_CD8SP,6,4
Xenobiotics metabolism,0.5642328975227117,3,Early,666,77
