pathway,pathway_direction,pathway_median_d,reaction_id,reaction_name,cohens_d,p_value,significant,genes,n_genes,ec_number
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04484_pos,thymidylate 5'-phosphohydrolase,-1.975397219409992,0.019091465014925913,True,Acp3; Nt5c; Nt5c1a; Nt5c1b; Nt5c2; Nt5c3; Nt5c3b; Nt5e; Nt5m; Rbak,10,3.1.3.5;3.1.3.35
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04485_neg,thymidine:phosphate deoxy-alpha-D-ribosyltransferase,-0.5858991121629081,0.39819663330744326,False,Tymp,1,2.4.2.1;2.4.2.4
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04485_pos,thymidine:phosphate deoxy-alpha-D-ribosyltransferase,0.544444832277398,0.5197673762262658,False,Tymp,1,2.4.2.1;2.4.2.4
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04510_pos,2'-deoxycytidine 5'-monophosphate phosphohydrolase,-0.7684044884075304,0.18488732561303578,False,Acp3; Nt5c; Nt5c1a; Nt5c1b; Nt5c2; Nt5c3; Nt5c3b; Nt5e; Nt5m; Rbak,10,3.1.3.5
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04512_neg,ATP:dCMP phosphotransferase,0.24575316067611472,0.9697593644218446,False,Cmpk1,1,2.7.4.14
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04512_pos,ATP:dCMP phosphotransferase,0.24575316067611472,0.9697593644218446,False,Cmpk1,1,2.7.4.14
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04513_pos,ATP:deoxycitidine 5'-phosphotransferase,1.0423741980031511,0.2635670780433956,False,Dck,1,2.7.1.74
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04514_pos,deoxycytidine aminohydrolase,-1.2260451177433962,0.1016320232379835,False,Aicda; Cda,2,3.5.4.14
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04575_neg,(S)-dihydroorotate:NAD+ oxidoreductase,0.9471407674828256,0.2635670780433956,False,Dhodh,1,1.3.5.2;1.3.1.14
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04575_pos,(S)-dihydroorotate:NAD+ oxidoreductase,-0.5857663371553874,0.45796136522773573,False,Dhodh,1,1.3.5.2;1.3.1.14
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04577_pos,Orotidine-5'-phosphate:diphosphate phospho-alpha-D-ribosyl-transferase,-0.8196460809602291,0.22140435206212575,False,Umps,1,2.4.2.10
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04579_neg,uridine:phosphate alpha-D-ribosyltransferase,-0.15491598980673338,0.8608725380680741,False,Upp1; Upp2,2,2.4.2.3
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04579_pos,uridine:phosphate alpha-D-ribosyltransferase,-0.16794034321158596,0.6615256091011786,False,Upp1; Upp2,2,2.4.2.3
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04580_pos,Cytidine aminohydrolase,-0.9481277259067027,0.12740389581935602,False,Aicda; Apobec4; Cda,3,3.5.4.5
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04608_neg,(S)-dihydroorotate amidohydrolase,-0.5857663371553874,0.45796136522773573,False,Cad,1,3.5.2.3
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04608_pos,(S)-dihydroorotate amidohydrolase,0.9471407674828256,0.2635670780433956,False,Cad,1,3.5.2.3
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04635_neg,ATP:dTDP phosphotransferase,0.4429093969857532,0.15296717596056003,False,Nme1; Nme2; Nme3; Nme4; Nme6; Nme7,6,2.7.4.6
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04635_pos,ATP:dTDP phosphotransferase,0.4429093969857532,0.15296717596056003,False,Nme1; Nme2; Nme3; Nme4; Nme6; Nme7,6,2.7.4.6
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04637_neg,ATP:dTMP phosphotransferase,1.601688412101142,0.04554114038133258,True,Dtymk,1,2.7.4.12;2.7.4.9
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04637_pos,ATP:dTMP phosphotransferase,1.6159849082008062,0.03539392365359216,True,Dtymk,1,2.7.4.12;2.7.4.9
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04642_pos,2'-deoxyuridine 5'-monophosphate phosphohydrolase,1.0902081082979571,0.12740389581935602,False,Nt5c; Nt5m,2,3.1.3.-
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04643_pos,dUTP nucleotidohydrolase,-2.55550850870716,0.002268703998807805,True,Dut; Itpa,2,3.6.1.23;3.6.1.19
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04644_neg,"5,10-Methylenetetrahydrofolate:dUMP C-methyltransferase",1.6879991452895602,0.019091465014925913,True,Tyms,1,2.1.1.45
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04644_pos,"5,10-Methylenetetrahydrofolate:dUMP C-methyltransferase",-0.5687294482492606,0.39819663330744326,False,Tyms,1,2.1.1.45
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04670_neg,ATP:dCDP phosphotransferase,0.24575316067611472,0.9697593644218446,False,Nme1; Nme2; Nme3; Nme4; Nme6; Nme7,6,2.7.4.6
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04670_pos,ATP:dCDP phosphotransferase,0.24575316067611472,0.9697593644218446,False,Nme1; Nme2; Nme3; Nme4; Nme6; Nme7,6,2.7.4.6
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04672_pos,dCTP aminohydrolase,-1.882949020833193,0.008888808630577514,True,,0,3.5.4.13
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04673_neg,ATP:dUDP phosphotransferase,-0.4436310777549525,0.39819663330744326,False,Nme1; Nme2; Nme3; Nme4; Nme6; Nme7,6,2.7.4.6
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04673_pos,ATP:dUDP phosphotransferase,1.443020536463932,0.03539392365359216,True,Nme1; Nme2; Nme3; Nme4; Nme6; Nme7,6,2.7.4.6
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04675_pos,ATP:dUDP phosphotransferase,1.443020536463932,0.03539392365359216,True,Nme1; Nme2; Nme3; Nme4; Nme6; Nme7,6,2.7.4.6
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04676_pos,No name available,-0.7140483343593461,0.39819663330744326,False,Uck1; Uck2; Uckl1,3,2.7.1.48
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04736_pos,"(R)-5,6-dihydrothymine amidohydrolase",-1.525817185195553,0.04554114038133258,True,Dpys,1,3.5.2.2
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR04819_pos,(R)-3-ureidoisobutyrate amidohydrolase,-3.6761827459775063,0.0016069986658221952,True,Upb1,1,3.5.1.6
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR05299_pos,ATP:uridine 5'-phosphotransferase,-0.4205149414060555,0.45796136522773573,False,Uck1; Uck2; Uckl1,3,2.7.1.48
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR05352_pos,No name available,-0.3881844900409814,0.5197673762262658,False,Uck1; Uck2; Uckl1,3,2.7.1.48
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR06612_neg,No name available,1.4834714933820998,0.013156634822295656,True,Dtymk,1,2.7.4.9
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR06612_pos,No name available,0.17766216574142787,1.0,False,Dtymk,1,2.7.4.9
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR06613_neg,No name available,-1.2839944002947088,0.1016320232379835,False,Dtymk,1,2.7.4.9
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR06614_neg,No name available,0.4429093969857532,0.15296717596056003,False,Nme1; Nme2; Nme3; Nme4; Nme6; Nme7,6,2.7.4.6
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR06614_pos,No name available,0.4429093969857532,0.15296717596056003,False,Nme1; Nme2; Nme3; Nme4; Nme6; Nme7,6,2.7.4.6
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR06615_neg,No name available,0.20530302657315455,0.9697593644218446,False,Nme1; Nme2; Nme3; Nme4; Nme6; Nme7,6,2.7.4.6
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR06615_pos,No name available,0.4429093969857532,0.15296717596056003,False,Nme1; Nme2; Nme3; Nme4; Nme6; Nme7,6,2.7.4.6
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR06616_neg,No name available,0.47192088374838265,0.15296717596056003,False,Nme1; Nme2; Nme3; Nme4; Nme6; Nme7,6,2.7.4.6
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR06616_pos,No name available,0.47192088374838265,0.15296717596056003,False,Nme1; Nme2; Nme3; Nme4; Nme6; Nme7,6,2.7.4.6
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR06621_neg,2'-deoxyuridine 5'-triphosphate:oxydized-thioredoxin 2'-oxidoreductase,-0.16252469623806973,0.8608725380680741,False,Rrm1; Rrm2; Rrm2b; Txn1; Txn2,5,1.17.4.1
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR06622_pos,2'-deoxyuridine 5'-triphosphate:oxydized-thioredoxin 2'-oxidoreductase,-1.3171503860391376,0.08668985278367534,False,Rrm1; Rrm2; Rrm2b; Txn1; Txn2,5,1.17.4.1
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR06623_pos,No name available,1.1157492197299064,0.12740389581935602,False,Tk1,1,2.7.1.21
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR06624_pos,No name available,-1.8794780628859997,0.04554114038133258,True,Tk2,1,2.7.1.21
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR06627_neg,No name available,0.4316792232577852,0.15296717596056003,False,Pklr; Pkm,2,2.7.1.40
Pyrimidine metabolism,CD5 hi,0.04179319563361549,MAR06627_pos,No name available,-1.7816468008520296,0.019091465014925913,True,Pklr; Pkm,2,2.7.1.40
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00931_pos,No name available,1.2473184008714102,0.06965583282873238,False,Cyp19a1; Cyp1a1; Cyp1a2; Cyp1b1; Cyp2a4; Cyp2a5; Cyp2b10; Cyp2c29; Cyp2c38; Cyp2c39; Cyp2c55; Cyp2c65; Cyp2c66; Cyp2d22; Cyp2e1; Cyp2f2; Cyp2j6; Cyp2j9; Cyp2s1; Cyp2u1; Cyp3a13; Cyp3a16; Cyp3a41a; Cyp3a41b; Cyp3a44; Cyp3a57; Cyp4b1; Cyp4f14; Cyp4f40; Cyp4x1,30,1.14.14.1
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00932_pos,No name available,1.2473184008714102,0.06965583282873238,False,Cyp19a1; Cyp1a1; Cyp1a2; Cyp1b1; Cyp2a4; Cyp2a5; Cyp2b10; Cyp2c29; Cyp2c38; Cyp2c39; Cyp2c55; Cyp2c65; Cyp2c66; Cyp2d22; Cyp2e1; Cyp2f2; Cyp2j6; Cyp2j9; Cyp2s1; Cyp2u1; Cyp3a13; Cyp3a16; Cyp3a41a; Cyp3a41b; Cyp3a44; Cyp3a57; Cyp4b1; Cyp4f14; Cyp4f40; Cyp4x1,30,1.14.14.1
Arachidonic acid metabolism,CD5 hi,1.2473184008714102,MAR00933_pos,No name available,1.2473184008714102,0.06965583282873238,False,Cyp19a1; Cyp1a1; Cyp1a2; Cyp1b1; Cyp2a4; Cyp2a5; Cyp2b10; Cyp2c29; Cyp2c38; Cyp2c39; Cyp2c55; Cyp2c65; Cyp2c66; Cyp2d22; Cyp2e1; Cyp2f2; Cyp2j6; Cyp2j9; Cyp2s1; Cyp2u1; Cyp3a13; Cyp3a16; Cyp3a41a; Cyp3a41b; Cyp3a44; Cyp3a57; Cyp4b1; Cyp4f14; Cyp4f40; Cyp4x1,30,1.14.14.1
